|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        12071.0        3037.93        1008.05        50.4470        47.7735        59.6417     
  923.150        12081.0        3037.97        1008.26        50.4470        47.7735        59.6420     
  923.150        12091.0        3038.01        1008.47        50.4470        47.7735        59.6423     
  923.150        12101.1        3038.06        1008.68        50.4470        47.7735        59.6426     
  923.150        12111.1        3038.10        1008.89        50.4470        47.7735        59.6428     
  923.150        12121.1        3038.14        1009.10        50.4470        47.7735        59.6431     
  923.150        12131.1        3038.18        1009.31        50.4470        47.7735        59.6434     
  923.150        12141.1        3038.22        1009.52        50.4470        47.7735        59.6437     
  923.150        12151.1        3038.26        1009.72        50.4470        47.7735        59.6440     
  923.150        12161.1        3038.30        1009.93        50.4470        47.7735        59.6443     
  923.150        12171.1        3038.34        1010.14        50.4470        47.7735        59.6446     
  923.150        12181.1        3038.38        1010.35        50.4470        47.7735        59.6449     
  923.150        12191.1        3038.42        1010.55        50.4470        47.7735        59.6452     
  923.150        12201.1        3038.46        1010.76        50.4470        47.7735        59.6455     
  923.150        12211.1        3038.50        1010.97        50.4470        47.7735        59.6458     
  923.150        12221.1        3038.54        1011.18        50.4470        47.7735        59.6461     
  923.150        12231.1        3038.58        1011.38        50.4470        47.7735        59.6464     
  923.150        12241.1        3038.63        1011.59        50.4470        47.7735        59.6467     
  923.150        12251.1        3038.67        1011.79        50.4470        47.7735        59.6470     
  923.150        12261.1        3038.71        1012.00        50.4470        47.7735        59.6473     
  923.150        12271.1        3038.75        1012.21        50.4470        47.7735        59.6476     
  923.150        12281.1        3038.79        1012.41        50.4470        47.7735        59.6478     
  923.150        12291.1        3038.83        1012.62        50.4470        47.7735        59.6481     
  923.150        12301.2        3038.87        1012.82        50.4470        47.7735        59.6484     
  923.150        12311.2        3038.91        1013.03        50.4470        47.7735        59.6487     
  923.150        12321.2        3038.95        1013.24        50.4470        47.7735        59.6490     
  923.150        12331.2        3038.99        1013.44        50.4470        47.7735        59.6493     
  923.150        12341.2        3039.03        1013.65        50.4470        47.7735        59.6496     
  923.150        12351.2        3039.07        1013.85        50.4470        47.7735        59.6499     
  923.150        12361.2        3039.11        1014.05        50.4470        47.7735        59.6502     
  923.150        12371.2        3039.15        1014.26        50.4470        47.7735        59.6505     
  923.150        12381.2        3039.20        1014.46        50.4470        47.7735        59.6508     
  923.150        12391.2        3039.24        1014.67        50.4470        47.7735        59.6511     
  923.150        12401.2        3039.28        1014.87        50.4470        47.7735        59.6514     
  923.150        12411.2        3039.32        1015.08        50.4470        47.7735        59.6517     
  923.150        12421.2        3039.36        1015.28        50.4470        47.7735        59.6520     
  923.150        12431.2        3039.40        1015.48        50.4470        47.7735        59.6522     
  923.150        12441.2        3039.44        1015.69        50.4470        47.7735        59.6525     
  923.150        12451.2        3039.48        1015.89        50.4470        47.7735        59.6528     
  923.150        12461.2        3039.52        1016.09        50.4470        47.7735        59.6531     
  923.150        12471.2        3039.56        1016.30        50.4470        47.7735        59.6534     
  923.150        12481.2        3039.60        1016.50        50.4470        47.7735        59.6537     
  923.150        12491.2        3039.64        1016.70        50.4470        47.7735        59.6540     
  923.150        12501.3        3039.68        1016.90        50.4470        47.7735        59.6543     
  923.150        12511.3        3039.72        1017.11        50.4470        47.7735        59.6546     
  923.150        12521.3        3039.76        1017.31        50.4470        47.7735        59.6549     
  923.150        12531.3        3039.80        1017.51        50.4470        47.7735        59.6552     
  923.150        12541.3        3039.85        1017.71        50.4470        47.7735        59.6555     
  923.150        12551.3        3039.89        1017.91        50.4470        47.7735        59.6558     
  923.150        12561.3        3039.93        1018.12        50.4470        47.7735        59.6561     
  923.150        12571.3        3039.97        1018.32        50.4470        47.7735        59.6563     
  923.150        12581.3        3040.01        1018.52        50.4470        47.7735        59.6566     
  923.150        12591.3        3040.05        1018.72        50.4470        47.7735        59.6569     
  923.150        12601.3        3040.09        1018.92        50.4470        47.7735        59.6572     
  923.150        12611.3        3040.13        1019.12        50.4470        47.7735        59.6575     
  923.150        12621.3        3040.17        1019.32        50.4470        47.7735        59.6578     
  923.150        12631.3        3040.21        1019.52        50.4470        47.7735        59.6581     
  923.150        12641.3        3040.25        1019.72        50.4470        47.7735        59.6584     
  923.150        12651.3        3040.29        1019.92        50.4470        47.7735        59.6587     
  923.150        12661.3        3040.33        1020.12        50.4470        47.7735        59.6590     
  923.150        12671.3        3040.37        1020.32        50.4470        47.7735        59.6593     
  923.150        12681.3        3040.41        1020.52        50.4470        47.7735        59.6596     
  923.150        12691.3        3040.45        1020.72        50.4470        47.7735        59.6599     
  923.150        12701.4        3040.50        1020.92        50.4470        47.7735        59.6601     
  923.150        12711.4        3040.54        1021.12        50.4470        47.7735        59.6604     
  923.150        12721.4        3040.58        1021.32        50.4470        47.7735        59.6607     
  923.150        12731.4        3040.62        1021.52        50.4470        47.7735        59.6610     
  923.150        12741.4        3040.66        1021.72        50.4470        47.7735        59.6613     
  923.150        12751.4        3040.70        1021.92        50.4470        47.7735        59.6616     
